Vendor Name,Primary Phone,Fax,Address,City,State,Zip,Preferred,Electronic
NAP - 15678,(714) 367-8890,N/A,14379 Industry Cir,La Mirada,CA,90638,FALSE, 
NAPA - 15678,(707) 252-6811,N/A,2999 CIRCLE 75 PARKWAY,ATLANTA,GA,30339,FALSE, 
NAPA AUTO PARTS - 15678,(805) 494-7822,N/A,"2499 E. THOUSAND OAKS BLVD., THOUSAND OA",SIMI VALLEY,CA,93065,FALSE, 
NEFTIN VOLKSWAGEN - 15678,(805) 497-9404,N/A,3550 Auto Mall Dr,Thousand oaks,CA,91362,TRUE,Electronic
NEFTIN WESTLAKE MAZDA - 15678,(805) 497-9404,(805) 497-7265,3500 AUTO MALL DR.,THOUSAND OAKS,CA,91362,FALSE, 
NEFTIN WESTLAKE VOLVO - 15678,(877) 898-1953,N/A,3550 AUTO MALL DRIVE,THOUSAND OAKS,CA,91362,FALSE, 
NEMOS AUTO - 15678,(626) 358-2224,N/A,712 ALPHA STREET,DUARTE,CA,91010,FALSE, 
NEW LOOK HEADLIGHT - 15678,(818) 731-0307,N/A,12281 BRANDFORD ST,SUN VALLEY,CA,91352,FALSE, 
NISSAN OF THOUSAND OAKS - 15678,(805) 494-1200,N/A,1,THOUSAND OAKS,CA,91362,FALSE, 
Nissan of Tustin - 15678,(714) 669-8288,N/A,30 Auto Center Drive,Tustin,CA,92782,FALSE, 
Nissan of Van Nuys - 15678,(818) 787-8400,N/A,1,VAN NUYS,CA,91401,FALSE, 
Northridge Toyota - 15678,(818) 709-4762,N/A,19550 Nordhoff st,Northridge,CA,91342,FALSE, 
O'GARA COACH - 15678,(855) 853-4245,N/A,.,THOUSAND OAKS,CA,91362,FALSE, 
OCEAN HONDA - 15678,(818) 301-3800,N/A,5841 LANKERSHIM BLVD,NORTH HOLLYWOOD,CA,91601,FALSE, 
OCTANE LIGHTING - 15678,(855) 962-8263,N/A,675 COCHRAN,SIMI VALLEY,CA,93065,FALSE, 
OEM SURPLUS PARTS - 15678,(818) 839-5718,N/A,1421 RAILROAD ST,GLENDALE,CA,91204,FALSE, 
ONTARIO HYUNDAI - 15678,(909) 390-8484,N/A,1307 KETTERING LOOP,ONTARIO,CA,91761,FALSE, 
OPM AUTO DISMANTLING - 15678,(323) 337-5511,N/A,11541 SHELDON ST,SUN VALLEY,CA,91352,FALSE, 
OREILLY - 15678,(805) 306-9209,N/A,1239 EAST LOST ANGELES AVE,SIMI VALLEY,CA,93065,FALSE, 
Original One Parts - 15678,(877) 441-0001,N/A,4201 SPRING VALLEY RD,DALLAS,TX,75244,FALSE,Electronic
OriginalOneParts - 15678,(877) 441-0001,N/A,1431 Kingsland Ave,St. Louis,MO,63133,FALSE,Electronic
OXNARD MITSUBISHI - 15678,(805) 483-5555,N/A,.,OXNARD,CA,93030,FALSE, 
P&M TOWING - 15678,(818) 693-1722,N/A,.,RESEDA,CA,91337,FALSE, 
Pacific Auto Company - 15678,(800) 666-0899,N/A,7945 LANKERSHIM BOULEVARD,NORTH HOLLYWOOD,CA,91605,FALSE,Electronic
PACIFIC AUTO DISMANTLER - 15678,(562) 491-1015,N/A,2423 EAST ANAHEIM,WILMINGTON,CA,90744,FALSE, 
Pacific Rims Inc. - 15678,(800) 928-6746,N/A,941 GARCIA AVE. UNIT A,PITTSBURGH,CA,94565,FALSE, 
PALMDALE HONDA - 15678,(661) 265-6000,N/A,455 AUTO VISTA DR,PALMDALE,CA,93551,FALSE, 
PartsChannel - USAA - North Hollywood - 1,(888) 222-8933,N/A,6836 LANKERSHIM BLVD.,NORTH HOLLYWOOD,CA,91605,FALSE, 
PEP EXPRESS PARTS - 15678,(805) 522-4002,N/A,"PEPBOYS - REMITTANCE DEPT., P.O BOX 8500",SIMI VALLEY,CA,93065,FALSE, 
PEPBOYS - 15678,(805) 522-4002,N/A,660 E Los Angeles,Simi Valley,CA,93065,FALSE, 
PERFORMANCE RADIATOR - 15678,(253) 471-4203,N/A,PO BOX 11224,TACOMA,WA,98411,FALSE, 
Peterson Repair - 15678,(805) 581-2822,N/A,.,Simi Valley,CA,93063,FALSE, 
PHOENIX AUTO WRECKING - 15678,(310) 952-4978,N/A,711.N WATSON AVE,WILMINGTON,CA,90744,FALSE, 
PLATINUM AUTO TRENDS - 15678,(562) 229-7691,N/A,14434 Best Avenue,Santa Fe Springs,CA,90670,FALSE,Electronic
Platinum tow and transport - 15678,(805) 987-3345,N/A,PO Box 3410,Camarillo,CA,93011,FALSE, 
PORSCHE WOODLAND HILLS - 15678,(818) 884-4411,N/A,21301 VENTURA BLVD.,WOODLAND HILLS,CA,91364,FALSE, 
POWERLINE BATTERY SPECIALIST - 15678,(805) 527-2288,N/A,4268 E LOS ANGELES AVE SUITE 101,SIMI VALLEY,CA,93063,FALSE, 
Precision Dent - 15678,(818) 335-1964,N/A,3405 Leora St.,Simi Valley,CA,93063,FALSE, 
"Premier Autolights, Inc - 15678",(786) 381-8623,N/A,4995 E 10 AVE,HIALEAH,FL,33013,FALSE,Electronic
PREMIER WINDOW TINTING - 15678,(805) 584-8468,N/A,1378 E. LOS ANGELES,SIMI VALLEY,CA,93065,FALSE, 
PRO TECH DIAGNOSTICS - 15678,(818) 644-1965,N/A,38713 TIERRA SUBIDA SUITE 200,PALMDALE,CA,93551,FALSE, 
PUENTE HILLS - 15678,(626) 964-7100,N/A,17070 GALE AVE,CITY OF INDUSTRY,CA,91745,FALSE, 
Puente Hills Mazda - 15678,(000) 000-0000,N/A,17723 East Gale Avenue,City of Industry,CA,91748,TRUE, 
QUALITY RECONDITIONING SERVICE - 15678,(805) 402-4995,N/A,1 b,SIMI VALLEY,CA,93065,FALSE, 
QWIK PARTS - 15678,(909) 889-0206,N/A,330 E SIXTH ST,SAN BERNARDINO,CA,92410,FALSE, 
QWIKPARTS AUTO SALVAGE - 15678,(909) 889-0206,N/A,330 6TH ST,SAN BERNARDINO,CA,92410,FALSE, 
RAINBOW AUTO - 15678,(818) 767-0316,N/A,8917 N MORRIS,SUN VALLEY,CA,91352,FALSE, 
RALLY KIA - 15678,(661) 274-7009,N/A,39012 CARRIAGE WAY,PALMDALE,CA,93551,FALSE, 
RANDYS TOWING - 15678,(818) 898-3100,N/A,16606 ROSCOE BLVD,LOS ANGELES,CA,91343,FALSE, 
RealTruck.com - 15678,(866) 396-4855,N/A,2150 Agate Ct,Simi Valley,CA,93065,FALSE, 
RECREATIONAL EQUIPMENT INC - 15678,(800) 426-4840,N/A,1700 45TH STREET EAST,SUMNER,WA,98352,FALSE, 
RELIANCE - 15678,(818) 773-8595,N/A,9536 TOPANGA CANYON BLVD,CHATSWORTH,CA,91311,FALSE, 
Rick'sUsedAutoParts - 15678,(814) 885-6103,N/A,724 Brandy Camp Rd.,Kersey,PA,15846,FALSE, 
RITEWAY AUTO DISMANTLERS - 15678,(909) 350-2576,N/A,15765 ARROW BLVD,FONTANA,CA,92335,FALSE, 
ROY'S TOWING - 15678,(805) 498-6325,N/A,.,THOUSAND OAKS,CA,91362,FALSE, 
RPW Headlamps - 15678,(800) 336-4028,N/A,PO BOX 125,INDIANOLA,IA,50125,FALSE,Electronic
RUSNAK - 15678,(805) 496-6500,N/A,.,THOUSAND OAKS,CA,91362,FALSE, 
Rusnak Audi Pasadena - 15678,(555) 555-5555,N/A,267 W Colorado,Pasadena,CA,91105,TRUE,Electronic
RUSNAK PORSCHE - 15678,(805) 267-5971,N/A,3839 AUTO MALL DR.,THOUSAND OAKS,CA,91362,FALSE, 
Russell Westbrook Alfa Romeo - 15678,(818) 926-4719,N/A,1,Van Nuys,CA,91401,FALSE, 
RUSSELL WESTBROOK HYUNDAI - 15678,(714) 678-2049,N/A,1271 S. AUTO CENTER DR.,ANAHEIM,CA,92806,FALSE, 
RYDELL GMC - 15678,(866) 357-2787,N/A,18600 DEVONSHIRE ST,NORTHRIDGE,CA,91324,FALSE, 
S & S BUMPER REPAIR - 15678,(310) 638-0443,N/A,1437 W 16TH ST,LONG BEACH,CA,90813,FALSE, 
SA TOWING - 15678,(818) 838-2727,N/A,4486 Runway ST,Simi Valley,CA,93063,FALSE, 
SAV ON AUTO PARTS - 15678,(818) 899-2228,N/A,9835 SAN FERNANDO RD,ARLETA,CA,91331,FALSE, 
SCANDINAVIAN SERVICES - 15678,(805) 527-7314,N/A,2001 DONVILLE AVE,SIMI VALLEY,CA,93065,FALSE, 
SCHIMMICKS - 15678,(310) 328-7513,N/A,22704 S NORMANDIE AVE,TORRANCE,CA,90502,FALSE, 
Scott Robertson Chrysler Dodge Jeep and R,(310) 542-0900,N/A,20900 Hawthorne Blvd,Torrance,CA,90503,FALSE, 
SCOTT ROBINSON HONDA - 15678,(310) 371-3521,N/A,20340 HAWTHORNE,TORRANCE,CA,90503,FALSE, 
SERVICE TECH - 15678,(805) 526-1262,N/A,90 W EASTY STREET,SIMI VALLEY,CA,93065,FALSE, 
SHADE of TINT - 15678,(805) 210-5284,N/A,649 e Easy st.,Simi Valley,CA,93065,FALSE, 
SHAVER AUTOMOTIVE GROUP - 15678,(866) 438-5337,N/A,.,THOUSAND OAKS,CA,91362,FALSE, 
Shaw Auto Parts - Team PRP - 15678,(208) 232-5952,N/A,1445 N. 1ST AVE.,POCATELLO,ID,83201,FALSE,Electronic
shortees - 15678,(805) 583-9566,N/A,2150 Agate ct,Simi Valley,CA,93065,FALSE, 
SILVER STAR GMC - 15678,(805) 267-3200,N/A,3601 AUTO MALL DRIVE,THOUSAND OAKS,CA,91362,FALSE, 
SIMI FORD - 15678,(805) 813-8948,N/A,2440 FIRST ST.,SIMI VALLEY,CA,93065,FALSE, 
Simi Hardware Rock & Depot - 15678,(805) 527-7184,N/A,711 E Los Angeles Ave,Simi Valley,CA,93065,FALSE, 
SIMI VALLEY CHEVROLET - 15678,(805) 527-2372,N/A,1001 COCHRAN ST,SIMI VALLEY,CA,93065,FALSE, 
SIMI VALLEY CHRYSLER AND JEEP - 15678,(805) 581-9090,N/A,2350 FIRST ST,SIMI VALLEY,CA,93065,TRUE, 
Simi Valley Toyota - 15678,(805) 426-6600,N/A,2380 First,Simi Valley,CA,93065,TRUE, 
Snap-On - 15678,(805) 432-2224,N/A,P.O. Box 940681,Simi Valley,CA,93094,FALSE, 
SoCal Wrap and Tint (SWAT) - 15678,(805) 526-7928,N/A,4516 Runway Street Unit B,Simi Valley,CA,93063,FALSE, 
South Bay Ford Lincoln - 15678,(310) 706-6160,N/A,5100 W. Rosecrans Avenue,Hawthorne,CA,90250,FALSE, 
SSF IMPORTED AUTO PARTS - 15678,(650) 742-7050,N/A,1 b,anytown,CA,99999,FALSE, 
SUBARU OF GLENDALE - 15678,(818) 396-3900,N/A,1308 SOUTH BRAND BLVD,GLENDALE,CA,91204,FALSE, 
Subaru Sherman Oaks - 15678,(818) 670-7450,N/A,1,Van Nuys,CA,91401,FALSE, 
Suburban Wheel Covers - 15678,(805) 581-1671,N/A,2150 Agate Court,Simi Valley,CA,93065,FALSE, 
Swickard Acura of Thousand Oaks - 15678,(805) 371-5800,N/A,3945 Auto Mall Drive,Thousand Oaks,CA,91362,FALSE,Electronic
SWINK'S TOWING - 15678,(805) 522-2262,N/A,4506 INDUSTRIAL ST.,SIMI VALLEY,CA,93063,FALSE, 
T AND R PERFORMANCE - 15678,(805) 527-2712,N/A,60 W EASY ST,SIMI VALLEY,CA,93065,FALSE, 
TEAM NISSAN - 15678,(805) 485-8787,N/A,1801 AUTO CENTER DR.,OXNARD,CA,93031,FALSE,Electronic
THE CAVE - 15678,(818) 912-2348,N/A,679E EAST ST UNIT G,SIMI VALLEY,CA,93065,FALSE, 
THE SOUND SHOP - 15678,(919) 721-7664,N/A,PO BOX 2815,CHINO,CA,91708,FALSE, 
THE UPHOLSTERY ZONE INC - 15678,(805) 844-5356,N/A,2280 SHASTA WAY #106,SIMI VALLEY,CA,93065,FALSE, 
Thorson Buick GMC - 15678,(626) 795-8851,N/A,3456 E. Colorado Blvd,Pasadena,CA,91107,FALSE, 
Thousand Oaks Toyota - 15678,(805) 497-2791,N/A,1,Thousand Oaks,CA,91362,FALSE, 
THUMBPRINT - 15678,(805) 527-9491,N/A,480 E EASY ST,SIMI VALLEY,CA,93065,FALSE, 
TIRE PROS - 15678,(805) 527-3867,N/A,4386 LOS ANGELES AVE,SIMI VALLEY,CA,93063,FALSE, 
TLS Auto Recycling - 15678,(800) 322-5555,N/A,3811 Recyle RD,Rancho Cordova,CA,95742,FALSE, 
Torklift - 15678,(877) 343-6933,N/A,322 Railroad Ave N.,Kent,WA,98032,FALSE, 
TOYO PARTS ONLY - 15678,(818) 765-0322,N/A,11540 HART ST,NORTH HOLLYWOOD,CA,91605,FALSE, 
TOYOTA  OF ORLANDO - 15678,(407) 298-4500,(407) 298-4500,3575 VINELAND ROAD,ORLANDO FLORIDA,CA,32811,FALSE, 
Toyota of Glendale - 15678,(818) 244-7508,N/A,1260 S. Brand Blvd,Glendale,CA,91204,FALSE, 
Toyota Santa Monica - 15678,(310) 382-8830,N/A,1,Santa Monica,CA,90401,FALSE, 
TREBOL WHEELS & BUMPERS - 15678,(909) 764-9375,N/A,360 S. East End Ave #E,Pomona,CA,91766,FALSE, 
TRI COUNTY AUTO DISMANTLERS - 15678,(805) 647-8440,N/A,950 MISSION ROCK ROAD,SANTA PAULA,CA,93060,FALSE, 
TURBO CITY DISMANTLERS - 15678,(323) 221-1191,N/A,554 N MISSION RD,LOS ANGELES,CA,90033,FALSE, 
UHAUL - 15678,(805) 584-9374,N/A,1577 E LOS ANGELES AVE,SIMI VALLEY,CA,93065,FALSE, 
Universal City Nissan - 15678,(818) 769-8100,N/A,3550 CAHUENGA BLVD WEST,LOS ANGELES,CA,90068,FALSE, 
Universal Mitsubishi - 15678,(626) 628-9301,N/A,1125 Central Ave,Duarte,CA,91010,FALSE, 
URO PARTS - 15678,(800) 290-5555,N/A,555 E. EASY STREET,SIMI,CA,93065,FALSE, 
Valencia Acura - 15678,(818) 788-4610,N/A,23955 Creekside Road,Valencia,CA,91355,FALSE, 
VALLADARES PINSTRIPING - 15678,(818) 269-5336,N/A,8935 BURNET AVE,NORTH HILLS,CA,91343,FALSE, 
Ventura Toyota - 15678,(805) 650-0510,N/A,6360 AUTO CENTER DRIVE,VENTURA,CA,93003,FALSE, 
VENTURA VOLKWAGEN - 15678,(805) 642-6707,N/A,6360 AUTO CENTER DRIVE,VENTURA,CA,93003,FALSE, 
VICREZ BUSINESS - 15678,(805) 581-1671,N/A,12.156.252.42,CA,CA,91740,FALSE, 
VISTA FORD WOODLAND HILLS - 15678,(818) 884-7600,N/A,21501 VENTURA BLVD,WOODLAND HILLS,CA,91364,TRUE, 
WALKER 400 AUTO DISMANTLING - 15678,(909) 463-6396,N/A,13107 WHITTRAM AVE,RANCHO CUCAMONGA,CA,91739,FALSE, 
walmart - 15678,(805) 581-1666,N/A,255 Cochran St,Simi Valley,CA,93065,FALSE, 
"Warren Dist, Inc-Moorpark - 15678",(805) 658-2386,N/A,5316 KAZUKO CT,MOORPARK,CA,93021,FALSE, 
WARREN DISTRIBUTING INC - 15678,(805) 658-2386,N/A,8737 DICE ROAD,SANTA FE SPRINGS,CA,90670,FALSE, 
WEST HILLS TOWING - 15678,(818) 884-0068,N/A,7333 DEERING AVE,CANOGA PARK,CA,91303,FALSE, 
WESTLAKE HYUNDAI - 15678,(805) 719-4384,N/A,1,THOUSAND OAKS,CA,91362,FALSE,Electronic
WESTSIDE AUTOMOTIVE CENTER - 15678,(818) 887-7607,N/A,7252 ETON AVE,CANOGA PARK,CA,91303,FALSE, 
Wheels America - 15678,(713) 686-1311,N/A,4750 Sherwood Lane,Houston,TX,77092,FALSE,Electronic
WOODLAND HILLS HONDA - 15678,(818) 887-7111,N/A,6111 TOPANGA CANYON BLVD,WOODLAND HILLS,CA,91367,TRUE, 
WOODLAND HILLS HYUNDAI - 15678,(818) 346-6200,N/A,20539 VENTURA BLVD,WOODLAND HILLS,CA,91364,FALSE, 
WORLD DISMANTLER - 15678,(323) 245-7191,N/A,5228 SAN FERNANDO RD,GLENDALE,CA,91203,FALSE, 
WURTH USA INC. - 15678,(888) 273-1372,N/A,P.O. BOX 843948,DALLAS,TX,75284,FALSE, 
